,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
425,,2020-03-14 12:48:07,its_renson, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,Kenya,False,Twitter for Android,176,0
426,,2020-03-14 12:48:03,abbykiptoo, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,,False,Twitter for Android,328,0
427,,2020-03-14 12:47:52,MwauraJoma," DP  cancels public engagements in Kitale and West Pokot tomorrow, Saturday, March 14, 2020.He was scheduled t…",en,"Kiambu, Kenya",False,Twitter for Android,145,0
428,,2020-03-14 12:47:44,dukemuntwell, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,kisumu,False,Twitter Web App,254,0
429,,2020-03-14 12:47:28,DeniYachina, What's this woman talking about! Is she the same lady CS Kagwe was talking about? Is she the same lady from #rongai ? Could it…,en,Kiambu Kenya,False,Twitter Web App,99,0
430,,2020-03-14 12:47:23,TheMfyam, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,Nairobi,False,Twitter Web App,176,0
431,,2020-03-14 12:47:20,gwennzula, Who is fooling who?Why would the government LIE! Why would this lady LIE!Jane knows her itinerary and it’s what CS Kagwe…,en,Heaven on Earth,False,Twitter for Android,115,0
432,,2020-03-14 12:47:17,DeniYachina," In #rongai, Well equipped for #COVID19. Don't take chances! #CoronaVirusUpdates #coronaInkenya #RepentNowNations 😳😳😳👇👇 https…",en,Kiambu Kenya,False,Twitter Web App,2,0
433,,2020-03-14 12:47:15,maina_pierre, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,,False,Twitter for Android,328,0
434,,2020-03-14 12:47:02,MuangePJunior,#CoronaVirus just hit the wrong country 🇰🇪. I've just begun practicing all the biological science experiments that… ,en,Equatorial East Africa,False,Twitter Web App,1,1
435,,2020-03-14 12:46:51,KGLLife,"Toyota carina E manual For sale at 3,2M  via  #SaturdayMotivation, #SaturdayThoughts… ",es,Rwanda,False,Twitter for Android,0,0
