22,23,2019-10-12 09:01:58,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,TweetDeck,118,0,2019,41,285,October,5,Saturday,9,1,8,83,8.222222222222221,2,1,0,1,0.0
23,24,2019-10-12 09:00:29,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for iPhone,118,0,2019,41,285,October,5,Saturday,9,0,8,83,8.222222222222221,2,1,0,1,0.0
24,25,2019-10-12 08:56:52,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,8,56,8,83,8.222222222222221,2,1,0,1,0.0
25,26,2019-10-12 08:55:21,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,8,55,8,83,8.222222222222221,2,1,0,1,0.0
26,27,2019-10-12 08:42:02,kipmurkomen eliudkipchoge shame glued ktn routing minutes world reco httpstcotelvkkuhgo,en,Human Of The Earth,False,Twitter for Android,0,0,2019,41,285,October,5,Saturday,8,42,21,140,5.7142857142857135,10,0,0,1,0.0
27,28,2019-10-12 08:35:24,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Africa ,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,8,35,8,83,8.222222222222221,2,1,0,1,0.0
28,29,2019-10-12 07:49:15,kenduiywaah kenyapower_care used best parastatal statistic monopolies httpstcolaxd4ozgjw,en,namanga,False,Twitter for iPhone,0,0,2019,41,285,October,5,Saturday,7,49,19,139,6.36842105263158,10,0,0,0,1.0
29,30,2019-10-12 07:49:07,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,somewhere in the +254...,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,7,49,8,83,8.222222222222221,2,1,0,1,0.0
30,31,2019-10-12 07:24:27,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter Web App,118,0,2019,41,285,October,5,Saturday,7,24,8,83,8.222222222222221,2,1,0,1,0.0
31,32,2019-10-12 07:19:24,kenyapower_care kenyapower eliud159 ineos159 switchoffkplc httpstcofwtyd5jiu5,und,+254,False,Twitter for Android,0,0,2019,41,285,October,5,Saturday,7,19,6,87,13.666666666666664,0,3,0,1,0.0
32,33,2019-10-12 07:17:49,hi kenyapower_care experiencing power outages umoja 1 areas peacock seaboat amp market landma httpstcovuq4nbc7sm,en,+254,False,Twitter for Android,0,0,2019,41,285,October,5,Saturday,7,17,19,144,6.25,5,0,1,0,0.0
33,34,2019-10-12 06:55:24,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,6,55,8,83,8.222222222222221,2,1,0,1,0.0
34,35,2019-10-12 06:52:53,whoever labeled kenyapower_care kamati ya roho chafu never lied mess power race ju httpstcob2smhjqlmh,en,Riga,False,Twitter for iPhone,0,0,2019,41,285,October,5,Saturday,6,52,22,140,5.666666666666668,6,0,0,0,-0.175
35,36,2019-10-12 06:41:11,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,6,41,8,83,8.222222222222221,2,1,0,1,0.0
