0,1,2,3,4,5,6,7
2019-10-12 07:17:49,"Hi @KenyaPower_Care , we have been experiencing power outages in Umoja 1 areas of Peacock, Seaboat &amp; Market.
Landma… https://t.co/VUq4nbC7sM",en,+254,False,Twitter for Android,0,0
2019-10-12 06:55:24,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-12 06:52:53,Whoever labeled @KenyaPower_Care  kamati ya roho chafu never lied. How can you mess with power when the race has ju… https://t.co/b2SmhjqlMH,en,Riga,False,Twitter for iPhone,0,0
2019-10-12 06:41:11,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-12 06:09:45,"Of ALL the morning to not have electricity, Kenya Power chooses this one?! Where do I goooo!?

#EnemiesOfThePeople 
#SwitchOffKPLC",en,"Nairobi, Kenya",False,Twitter for iPhone,0,3
2019-10-12 05:14:58,We will #SwitchOffKPLC #ineos159challenge #IneosChallenge #NoHumanIsLimited #KOTLoyals https://t.co/fzoRlfttLh,en,,False,Twitter for Android,0,2
2019-10-12 04:51:45,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for iPhone,119,0
2019-10-12 04:45:36,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-12 04:18:28,"@FirstOfficerMax They never left! 

#SwitchOffKPLC",en,,False,Twitter for Android,0,1
2019-10-12 04:16:49,Bring back the dark days... #SwitchOffKPLC https://t.co/SWH0yFaRmO,en,"Nairobi, Kenya",False,Twitter Web App,0,0
2019-10-12 04:12:24,RT @MboyaApollo: We knew all along that @kenyapower was over billing  consumers to plug in the hole in their finances. We were vigilant to…,en,"Nairobi, Kenya",False,Twitter for Android,158,0
2019-10-12 03:59:40,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for iPad,119,0
2019-10-12 03:53:43,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,nairobi kenya,False,Twitter Web App,119,0
2019-10-12 03:53:06,@jymk254 @KenyaPower_Care @EliudKipchoge @KenyaPower If they denie us this chance then we #SwitchOffKPLC This is unacceptable.,en,"Nairobi, Kenya",False,Twitter for Android,0,1
2019-10-12 03:28:49,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,Nairobi,False,Twitter for iPhone,13,0
2019-10-12 02:54:05,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-12 02:48:05,Yet @KenyaPower_Care want to #SwitchOffKPLC for maintenance. Unbelievable #INEOS159 #NoHumanIsLimited https://t.co/MciPUsT5kx,en,,False,Twitter for Android,0,0
2019-10-12 02:43:19,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya.,False,Twitter for Android,119,0
2019-10-12 02:36:06,@KenyaPower_Care The whole world is waiting #Eliud159 #INEOS159 #NoHumanIsLimited @EliudKipchoge and you want to… https://t.co/KnzGik4jc8,en,,False,Twitter for Android,0,0
2019-10-12 00:07:22,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kahawa West,False,Twitter for Android,119,0
2019-10-11 22:47:56,@MikeSonko @EliudKipchoge Safaraicom which is the most stingy company is offering free bundles tomorrow and zile bu… https://t.co/G0UHGFHVqH,en,,False,Twitter for Android,0,0
2019-10-11 22:25:02,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 22:14:15,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Nairobi,False,Twitter for Android,119,0
2019-10-11 21:22:51,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Kabimoi, Kenya",False,Twitter for Android,119,0
2019-10-11 21:18:27,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,دبي,False,Twitter for Android,119,0
2019-10-11 21:16:38,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi,Kenya",False,Twitter for Android,119,0
2019-10-11 21:12:37,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 20:50:34,@OliverMathenge #SwitchoffKplc time we end this Monopoly. Join the petition,en,Kenya,False,Twitter Web App,0,0
2019-10-11 20:44:11,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 19:38:45,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter Web App,119,0
2019-10-11 19:32:05,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 19:16:02,@kipmurkomen @EliudKipchoge #SwitchOffKPLC,und,,False,Twitter for Android,0,1
2019-10-11 18:05:09,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for iPad,119,0
2019-10-11 16:59:00,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kampala ,False,Twitter for Android,119,0
2019-10-11 16:31:14,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 16:24:21,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 16:06:40,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,"Nairobi, Kenya.",False,Twitter for iPhone,13,0
2019-10-11 15:35:08,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,254 NAX,False,Twitter for Android,119,0
2019-10-11 15:30:32,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for iPhone,119,0
2019-10-11 15:07:47,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Nairobi, Kenya",False,Twitter for Android,119,0
2019-10-11 15:05:50,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Kenya,False,Twitter for Android,119,0
2019-10-11 14:48:42,@KenyaPower #SwitchOffKPLC,und,Kenya,False,Twitter for Android,0,0
2019-10-11 14:19:57,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,Zootropolis,False,Twitter for Android,119,0
2019-10-11 14:06:46,RT @JerotichSeii: #SwitchOffKPLC https://t.co/dyV8GfG17F,und,"Nairobi, Kenya",False,Twitter Web App,3,0
2019-10-11 13:43:16,"RT @harun_johnson: Stop your sideshows. Wishes are for birthdays. From a utility service we can demand. Just provide a reliable service, fo…",en,"Nairobi, Kenya",False,Twitter Web App,13,0
2019-10-11 13:33:59,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,#AmKenyan ,False,Twitter for Android,119,0
2019-10-11 13:29:56,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,"Kitale, Kenya",False,Twitter for Android,119,0
2019-10-11 13:14:07,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,,False,Twitter for Android,119,0
2019-10-11 13:11:53,"RT @JerotichSeii: That you be switched off.

#SwitchOffKPLC https://t.co/hjiLuLuQiQ",en,nairobi,False,Twitter for Android,119,0
